Auflage_DB_ID,Bescheid_ID,GZ,Auflagen_ID_laut_Bescheid,Auflagentyp,Auflagentext,Zielsystem,GSA_ID,GSA_Name,Frist,Intervall,Status,Rueckmeldung_am,Bemerkung
AUF-000032,B-201012070003,WA1-W-80284/227,5. Betriebsbuch führen,Betriebsbuch führen,Über alle Betriebsvorgänge ist ein Betriebsbuch zu führen.,EBeH,GSA-002,GSA02,,laufend,Produktiv,01.02.2026,
AUF-000033,B-201012070003,WA1-W-80284/227,8. Neophyten entfernen,Neophyten entfernen,Invasive Neophyten sind unverzüglich nach Auftreten zu entfernen und fachgerecht zu entsorgen.,GUSTAV,GSA-001,GSA01,02.11.2029,jährlich,Produktiv,20.07.2025,
AUF-000034,B-201012070003,WA1-W-80284/227,10. Zink messen,Zink messen,Der Parameter Zink ist jährlich im Ablauf des Rückhaltebeckens zu messen.,Probenahmeübersichtsplan,GSA-001,GSA01,11.12.2028,jährlich,Produktiv,17.05.2026,
AUF-000035,B-201012070003,WA1-W-80284/227,48. KW-Index messen,KW-Index messen,Die Konzentration an Mineralölkohlenwasserstoffen ist regelmäßig zu kontrollieren.,Probenahmeübersichtsplan,GSA-002,GSA02,16.10.2030,halbjährlich,Produktiv,04.11.2025,
AUF-000036,B-201012070003,WA1-W-80284/227,45. Inspektionselement g,Inspektionselement georeferenzieren,Die Lage der Gewässerschutzanlage ist geodätisch zu bestimmen und im GIS zu erfassen.,GIS,GSA-002,GSA02,,EINM,Produktiv,28.01.2026,
AUF-000037,B-200704080004,WA1-W-57819/266,6. Mahd durchführen,Mahd durchführen,Die begrünten Flächen sind regelmäßig zu mähen und freizuhalten.,EBeH,GSA-001,GSA01,28.11.2029,2x_jährlich,Produktiv,27.05.2026,
AUF-000038,B-200704080004,WA1-W-57819/266,39. Schieber kontrollier,Schieber kontrollieren,Sämtliche Armaturen sind regelmäßig auf Dichtheit zu kontrollieren.,EBeH,GSA-001,GSA01,06.04.2029,jährlich,Produktiv,03.06.2026,
AUF-000039,B-200704080004,WA1-W-57819/266,44. Rückhaltebecken insp,Rückhaltebecken inspizieren,Das Rückhaltebecken ist halbjährlich zu inspizieren.,EBeH,GSA-001,GSA01,26.09.2028,halbjährlich,Produktiv,07.07.2025,
AUF-000040,B-200704080004,WA1-W-57819/266,37. Betriebsbuch führen,Betriebsbuch führen,Über alle Betriebsvorgänge ist ein Betriebsbuch zu führen.,EBeH,GSA-001,GSA01,,laufend,Produktiv,19.03.2026,
AUF-000041,B-200704080004,WA1-W-57819/266,42. Neophyten entfernen,Neophyten entfernen,Vorkommen von Japanknöterich (Fallopia japonica) sind regelmäßig zu kontrollieren und zu bekämpfen.,GUSTAV,GSA-001,GSA01,13.05.2030,jährlich,Produktiv,25.01.2026,
AUF-000042,B-200704080004,WA1-W-57819/266,28. Gehölzpflege durchfü,Gehölzpflege durchführen,Strauch- und Baumschnitt ist nach fachlichen Grundsätzen durchzuführen.,GUSTAV,GSA-001,GSA01,26.09.2030,5-jährlich,Produktiv,01.05.2026,
AUF-000043,B-200704080004,WA1-W-57819/266,27. KW-Index messen,KW-Index messen,Die Konzentration an Mineralölkohlenwasserstoffen ist regelmäßig zu kontrollieren.,Probenahmeübersichtsplan,GSA-001,GSA01,28.05.2029,halbjährlich,Produktiv,03.01.2026,
AUF-000044,B-200704080004,WA1-W-57819/266,27. Nickel messen,Nickel messen,Nickel ist einmal jährlich im Ablauf zu bestimmen.,Probenahmeübersichtsplan,GSA-001,GSA01,21.04.2029,jährlich,Produktiv,20.01.2026,
AUF-000045,B-202006080005,WA1-W-17331/334,3. Mahd durchführen,Mahd durchführen,Die Uferböschungen sind jährlich zu mähen.,EBeH,GSA-001,GSA01,16.07.2030,2x_jährlich,Produktiv,02.05.2026,
AUF-000046,B-202006080005,WA1-W-17331/334,21. Schieber kontrollier,Schieber kontrollieren,Die Schieber und Absperrorgane sind jährlich auf Funktionstüchtigkeit zu prüfen.,EBeH,GSA-001,GSA01,13.11.2028,jährlich,Produktiv,22.11.2025,
AUF-000047,B-202006080005,WA1-W-17331/334,35. Rückhaltebecken insp,Rückhaltebecken inspizieren,Eine jährliche Begehung und Inspektion des Rückhaltebeckens ist durchzuführen.,EBeH,GSA-001,GSA01,21.02.2031,halbjährlich,Produktiv,17.11.2025,
AUF-000048,B-202006080005,WA1-W-17331/334,13. Betriebsbuch führen,Betriebsbuch führen,Sämtliche Wartungs- und Kontrollmaßnahmen sind im Betriebsbuch zu dokumentieren.,EBeH,GSA-001,GSA01,,laufend,Produktiv,02.08.2025,
AUF-000049,B-202006080005,WA1-W-17331/334,29. Neophyten entfernen,Neophyten entfernen,Invasive Neophyten sind unverzüglich nach Auftreten zu entfernen und fachgerecht zu entsorgen.,GUSTAV,GSA-001,GSA01,17.12.2030,jährlich,Produktiv,04.03.2026,
AUF-000050,B-202006080005,WA1-W-17331/334,9. Gehölzpflege durchfü,Gehölzpflege durchführen,Strauch- und Baumschnitt ist nach fachlichen Grundsätzen durchzuführen.,GUSTAV,GSA-001,GSA01,14.07.2030,5-jährlich,Produktiv,04.11.2025,
AUF-000051,B-202006080005,WA1-W-17331/334,2. KW-Index messen,KW-Index messen,Der KW-Index ist halbjährlich im Ablauf zu messen.,Probenahmeübersichtsplan,GSA-001,GSA01,19.02.2028,halbjährlich,Produktiv,18.06.2025,
AUF-000052,B-202006080005,WA1-W-17331/334,27. Nickel messen,Nickel messen,Der Nickelgehalt ist entsprechend der EU-VO 2023/915 jährlich zu messen.,Probenahmeübersichtsplan,GSA-001,GSA01,21.07.2030,jährlich,Produktiv,21.02.2026,
AUF-000053,B-200803160006,WA1-W-80644/369,8. Mahd durchführen,Mahd durchführen,Die begrünten Flächen sind regelmäßig zu mähen und freizuhalten.,EBeH,GSA-001,GSA01,16.01.2030,2x_jährlich,Produktiv,30.03.2026,
AUF-000054,B-200803160006,WA1-W-80644/369,33. Sedimente entfernen,Sedimente entfernen,Sedimentablagerungen sind regelmäßig zu entfernen.,EBeH,GSA-002,GSA02,02.02.2029,3-jährlich,Produktiv,16.11.2025,
AUF-000055,B-200803160006,WA1-W-80644/369,16. Schieber kontrollier,Schieber kontrollieren,Sämtliche Armaturen sind regelmäßig auf Dichtheit zu kontrollieren.,EBeH,GSA-002,GSA02,07.02.2030,jährlich,Produktiv,07.09.2025,
AUF-000056,B-200803160006,WA1-W-80644/369,13. Rückhaltebecken insp,Rückhaltebecken inspizieren,Das Rückhaltebecken ist halbjährlich zu inspizieren.,EBeH,GSA-001,GSA01,09.08.2029,halbjährlich,Produktiv,12.05.2026,
AUF-000057,B-200803160006,WA1-W-80644/369,50. Betriebsbuch führen,Betriebsbuch führen,Sämtliche Wartungs- und Kontrollmaßnahmen sind im Betriebsbuch zu dokumentieren.,EBeH,GSA-002,GSA02,,laufend,Produktiv,24.12.2025,
AUF-000058,B-200803160006,WA1-W-80644/369,1. §134 Überprüfung dur,§134 Überprüfung durchführen,Eine Überprüfung nach §134 WRG ist alle 10 Jahre durchzuführen.,EBeH,GSA-003,GSA03,14.12.2028,10-jährlich,Produktiv,15.01.2026,
AUF-000059,B-200803160006,WA1-W-80644/369,43. Neophyten entfernen,Neophyten entfernen,Vorkommen von Japanknöterich (Fallopia japonica) sind regelmäßig zu kontrollieren und zu bekämpfen.,GUSTAV,GSA-003,GSA03,15.09.2030,jährlich,Produktiv,01.04.2026,
AUF-000060,B-200803160006,WA1-W-80644/369,31. Pflegeplan einhalten,Pflegeplan einhalten,Der Pflegeplan ist jährlich umzusetzen und die Maßnahmen sind zu dokumentieren.,GUSTAV,GSA-002,GSA02,23.06.2030,jährlich,Produktiv,28.12.2025,
AUF-000061,B-200803160006,WA1-W-80644/369,25. Neophytenmonitoring ,Neophytenmonitoring durchführen,Eine jährliche Bestandserhebung invasiver Arten ist durchzuführen.,GUSTAV,GSA-003,GSA03,02.07.2030,jährlich,Produktiv,03.01.2026,
AUF-000062,B-200803160006,WA1-W-80644/369,16. Zink messen,Zink messen,Die Zinkkonzentration im Gewässer ist jährlich zu bestimmen.,Probenahmeübersichtsplan,GSA-001,GSA01,14.05.2031,jährlich,Produktiv,17.02.2026,
AUF-000063,B-200803160006,WA1-W-80644/369,21. Blei messen,Blei messen,Der Bleigehalt im Ablaufwasser ist einmal jährlich zu bestimmen.,Probenahmeübersichtsplan,GSA-002,GSA02,13.09.2027,jährlich,Produktiv,20.06.2025,
AUF-000064,B-200803160006,WA1-W-80644/369,43. KW-Index messen,KW-Index messen,Der KW-Index ist halbjährlich im Ablauf zu messen.,Probenahmeübersichtsplan,GSA-002,GSA02,14.08.2029,halbjährlich,Produktiv,06.10.2025,
AUF-000065,B-200803160006,WA1-W-80644/369,38. Nickel messen,Nickel messen,Nickel ist einmal jährlich im Ablauf zu bestimmen.,Probenahmeübersichtsplan,GSA-001,GSA01,09.04.2030,jährlich,Produktiv,26.04.2026,
AUF-000066,B-200803160006,WA1-W-80644/369,34. Cadmium messen,Cadmium messen,"Cadmium ist jährlich im Ablauf zu messen und darf den Grenzwert von 0,1 mg/l nicht überschreiten.",Probenahmeübersichtsplan,GSA-002,GSA02,06.01.2028,jährlich,Produktiv,09.06.2026,
AUF-000067,B-202004060007,WA1-W-60019/710,10. Mahd durchführen,Mahd durchführen,Die Böschungen sind mindestens zweimal jährlich zu mähen und das Mähgut ist abzutragen.,EBeH,GSA-002,GSA02,15.02.2031,2x_jährlich,Produktiv,19.10.2025,
AUF-000068,B-202004060007,WA1-W-60019/710,40. Schieber kontrollier,Schieber kontrollieren,Sämtliche Armaturen sind regelmäßig auf Dichtheit zu kontrollieren.,EBeH,GSA-002,GSA02,09.05.2029,jährlich,Produktiv,19.07.2025,
AUF-000069,B-202004060007,WA1-W-60019/710,44. Rückhaltebecken insp,Rückhaltebecken inspizieren,Eine jährliche Begehung und Inspektion des Rückhaltebeckens ist durchzuführen.,EBeH,GSA-001,GSA01,18.04.2029,halbjährlich,Produktiv,05.01.2026,
AUF-000070,B-202004060007,WA1-W-60019/710,35. Betriebsbuch führen,Betriebsbuch führen,Über alle Betriebsvorgänge ist ein Betriebsbuch zu führen.,EBeH,GSA-002,GSA02,,laufend,Produktiv,04.08.2025,
AUF-000071,B-202004060007,WA1-W-60019/710,41. Neophyten entfernen,Neophyten entfernen,Vorkommen von Japanknöterich (Fallopia japonica) sind regelmäßig zu kontrollieren und zu bekämpfen.,GUSTAV,GSA-001,GSA01,08.10.2028,jährlich,Produktiv,20.02.2026,
AUF-000072,B-202004060007,WA1-W-60019/710,7. Gehölzpflege durchfü,Gehölzpflege durchführen,Die Gehölze sind in einem Abstand von 5 Jahren fachgerecht zurückzuschneiden.,GUSTAV,GSA-001,GSA01,20.11.2029,5-jährlich,Produktiv,01.11.2025,
AUF-000073,B-202004060007,WA1-W-60019/710,20. KW-Index messen,KW-Index messen,Der KW-Index ist halbjährlich im Ablauf zu messen.,Probenahmeübersichtsplan,GSA-001,GSA01,07.05.2031,halbjährlich,Produktiv,24.05.2026,
AUF-000074,B-202004060007,WA1-W-60019/710,23. Nickel messen,Nickel messen,Nickel ist einmal jährlich im Ablauf zu bestimmen.,Probenahmeübersichtsplan,GSA-001,GSA01,05.02.2029,jährlich,Produktiv,08.11.2025,
AUF-000075,B-202102210008,WA1-W-76542/208,37. Mahd durchführen,Mahd durchführen,Die begrünten Flächen sind regelmäßig zu mähen und freizuhalten.,EBeH,GSA-003,GSA03,06.10.2029,2x_jährlich,Zurückgewiesen,,
AUF-000076,B-202102210008,WA1-W-76542/208,12. Schieber kontrollier,Schieber kontrollieren,Die Schieber und Absperrorgane sind jährlich auf Funktionstüchtigkeit zu prüfen.,EBeH,GSA-001,GSA01,29.05.2028,jährlich,Zurückgewiesen,,
AUF-000077,B-202102210008,WA1-W-76542/208,40. Rückhaltebecken insp,Rückhaltebecken inspizieren,Das Rückhaltebecken ist halbjährlich zu inspizieren.,EBeH,GSA-003,GSA03,07.08.2029,halbjährlich,Zurückgewiesen,,
AUF-000078,B-202102210008,WA1-W-76542/208,38. Betriebsbuch führen,Betriebsbuch führen,Über alle Betriebsvorgänge ist ein Betriebsbuch zu führen.,EBeH,GSA-002,GSA02,,laufend,Zurückgewiesen,,
AUF-000079,B-202102210008,WA1-W-76542/208,41. Neophyten entfernen,Neophyten entfernen,Vorkommen von Japanknöterich (Fallopia japonica) sind regelmäßig zu kontrollieren und zu bekämpfen.,GUSTAV,GSA-001,GSA01,15.01.2030,jährlich,Zurückgewiesen,,
AUF-000080,B-202102210008,WA1-W-76542/208,43. Gehölzpflege durchfü,Gehölzpflege durchführen,Die Gehölze sind in einem Abstand von 5 Jahren fachgerecht zurückzuschneiden.,GUSTAV,GSA-002,GSA02,19.11.2028,5-jährlich,Zurückgewiesen,,
AUF-000081,B-202102210008,WA1-W-76542/208,44. KW-Index messen,KW-Index messen,Der KW-Index ist halbjährlich im Ablauf zu messen.,Probenahmeübersichtsplan,GSA-002,GSA02,25.01.2029,halbjährlich,Zurückgewiesen,,
AUF-000082,B-202102210008,WA1-W-76542/208,20. Nickel messen,Nickel messen,Nickel ist einmal jährlich im Ablauf zu bestimmen.,Probenahmeübersichtsplan,GSA-002,GSA02,01.10.2030,jährlich,Zurückgewiesen,,
AUF-000083,B-200707060009,WA1-W-41385/159,20. Ölbindemittel bereit,Ölbindemittel bereitstellen,Auf der Baustelle sind stets ausreichende Mengen an Ölbindemitteln bereitzuhalten.,EBauH,GSA-002,GSA02,,EINM,In Bearbeitung,,
AUF-000084,B-200707060009,WA1-W-41385/159,31. Baustellensicherung ,Baustellensicherung durchführen,Die Baustelle ist gemäß §90 StVO abzusichern.,EBauH,GSA-002,GSA02,,BEGL,In Bearbeitung,,
AUF-000085,B-200707060009,WA1-W-41385/159,25. Baustellenabwasser b,Baustellenabwasser behandeln,Trübe Bauwässer sind über Absetzbecken zu führen.,EBauH,GSA-001,GSA01,,BEGL,In Bearbeitung,,
AUF-000086,B-200707060009,WA1-W-41385/159,45. Mahd durchführen,Mahd durchführen,Die Uferböschungen sind jährlich zu mähen.,EBeH,GSA-003,GSA03,10.02.2029,2x_jährlich,In Bearbeitung,,
AUF-000087,B-200707060009,WA1-W-41385/159,26. Schieber kontrollier,Schieber kontrollieren,Sämtliche Armaturen sind regelmäßig auf Dichtheit zu kontrollieren.,EBeH,GSA-001,GSA01,23.02.2031,jährlich,In Bearbeitung,,
AUF-000088,B-200707060009,WA1-W-41385/159,44. Rückhaltebecken insp,Rückhaltebecken inspizieren,Das Rückhaltebecken ist halbjährlich zu inspizieren.,EBeH,GSA-001,GSA01,18.08.2030,halbjährlich,In Bearbeitung,,
AUF-000089,B-200707060009,WA1-W-41385/159,48. Betriebsbuch führen,Betriebsbuch führen,Sämtliche Wartungs- und Kontrollmaßnahmen sind im Betriebsbuch zu dokumentieren.,EBeH,GSA-003,GSA03,,laufend,In Bearbeitung,,
AUF-000090,B-200707060009,WA1-W-41385/159,39. Neophyten entfernen,Neophyten entfernen,Vorkommen von Japanknöterich (Fallopia japonica) sind regelmäßig zu kontrollieren und zu bekämpfen.,GUSTAV,GSA-002,GSA02,29.09.2028,jährlich,In Bearbeitung,,
AUF-000091,B-200707060009,WA1-W-41385/159,13. Zink messen,Zink messen,Die Zinkkonzentration im Gewässer ist jährlich zu bestimmen.,Probenahmeübersichtsplan,GSA-001,GSA01,09.01.2031,jährlich,In Bearbeitung,,
AUF-000092,B-200707060009,WA1-W-41385/159,44. KW-Index messen,KW-Index messen,Der KW-Index ist halbjährlich im Ablauf zu messen.,Probenahmeübersichtsplan,GSA-003,GSA03,25.02.2031,halbjährlich,In Bearbeitung,,
AUF-000093,B-200707060009,WA1-W-41385/159,42. Inspektionselement g,Inspektionselement georeferenzieren,Alle Anlagenteile sind in das GIS-System einzumessen.,GIS,GSA-003,GSA03,,EINM,In Bearbeitung,,
AUF-000094,B-201406290010,WA1-W-36365/830,3. Mahd durchführen,Mahd durchführen,Die begrünten Flächen sind regelmäßig zu mähen und freizuhalten.,EBeH,GSA-002,GSA02,04.12.2029,2x_jährlich,Zurückgewiesen,,
AUF-000095,B-201406290010,WA1-W-36365/830,6. Sedimente entfernen,Sedimente entfernen,Sedimentablagerungen sind regelmäßig zu entfernen.,EBeH,GSA-002,GSA02,11.03.2028,3-jährlich,Zurückgewiesen,,
AUF-000096,B-201406290010,WA1-W-36365/830,12. Schieber kontrollier,Schieber kontrollieren,Die Schieber und Absperrorgane sind jährlich auf Funktionstüchtigkeit zu prüfen.,EBeH,GSA-002,GSA02,13.10.2029,jährlich,Zurückgewiesen,,
AUF-000097,B-201406290010,WA1-W-36365/830,24. Rückhaltebecken insp,Rückhaltebecken inspizieren,Eine jährliche Begehung und Inspektion des Rückhaltebeckens ist durchzuführen.,EBeH,GSA-001,GSA01,24.06.2030,halbjährlich,Zurückgewiesen,,
AUF-000098,B-201406290010,WA1-W-36365/830,17. Betriebsbuch führen,Betriebsbuch führen,Sämtliche Wartungs- und Kontrollmaßnahmen sind im Betriebsbuch zu dokumentieren.,EBeH,GSA-001,GSA01,,laufend,Zurückgewiesen,,
AUF-000099,B-201406290010,WA1-W-36365/830,8. §134 Überprüfung dur,§134 Überprüfung durchführen,Eine Überprüfung nach §134 WRG ist alle 10 Jahre durchzuführen.,EBeH,GSA-002,GSA02,09.05.2029,10-jährlich,Zurückgewiesen,,
AUF-000100,B-201406290010,WA1-W-36365/830,49. Neophyten entfernen,Neophyten entfernen,Invasive Neophyten sind unverzüglich nach Auftreten zu entfernen und fachgerecht zu entsorgen.,GUSTAV,GSA-001,GSA01,30.03.2028,jährlich,Zurückgewiesen,,
AUF-000101,B-201406290010,WA1-W-36365/830,26. Pflegeplan einhalten,Pflegeplan einhalten,Der Pflegeplan ist jährlich umzusetzen und die Maßnahmen sind zu dokumentieren.,GUSTAV,GSA-003,GSA03,28.03.2031,jährlich,Zurückgewiesen,,
AUF-000102,B-201406290010,WA1-W-36365/830,1. Neophytenmonitoring ,Neophytenmonitoring durchführen,Eine jährliche Bestandserhebung invasiver Arten ist durchzuführen.,GUSTAV,GSA-001,GSA01,01.09.2029,jährlich,Zurückgewiesen,,
AUF-000103,B-201406290010,WA1-W-36365/830,30. Zink messen,Zink messen,Die Zinkkonzentration im Gewässer ist jährlich zu bestimmen.,Probenahmeübersichtsplan,GSA-003,GSA03,24.02.2028,jährlich,Zurückgewiesen,,
AUF-000104,B-201406290010,WA1-W-36365/830,38. Blei messen,Blei messen,Der Bleigehalt im Ablaufwasser ist einmal jährlich zu bestimmen.,Probenahmeübersichtsplan,GSA-003,GSA03,03.12.2028,jährlich,Zurückgewiesen,,
AUF-000105,B-201406290010,WA1-W-36365/830,44. KW-Index messen,KW-Index messen,Der KW-Index ist halbjährlich im Ablauf zu messen.,Probenahmeübersichtsplan,GSA-002,GSA02,23.01.2028,halbjährlich,Zurückgewiesen,,
AUF-000106,B-201406290010,WA1-W-36365/830,21. Nickel messen,Nickel messen,Der Nickelgehalt ist entsprechend der EU-VO 2023/915 jährlich zu messen.,Probenahmeübersichtsplan,GSA-003,GSA03,08.08.2030,jährlich,Zurückgewiesen,,
AUF-000107,B-201406290010,WA1-W-36365/830,45. Cadmium messen,Cadmium messen,"Cadmium ist jährlich im Ablauf zu messen und darf den Grenzwert von 0,1 mg/l nicht überschreiten.",Probenahmeübersichtsplan,GSA-003,GSA03,21.01.2030,jährlich,Zurückgewiesen,,
AUF-000108,B-200912100011,WA1-W-17716/334,9. Ölbindemittel bereit,Ölbindemittel bereitstellen,Auf der Baustelle sind stets ausreichende Mengen an Ölbindemitteln bereitzuhalten.,EBauH,GSA-001,GSA01,,EINM,Produktiv,28.05.2026,
